Departure City,Arrival City,Distance (km),Flight Number,Airline,Aircraft Type,Departure Time,Arrival Time,Departure Airport,Departure Airport Latitude,Departure Airport Longitude,Arrival Airport,Arrival Airport Latitude,Arrival Airport Longitude,On-Time Performance,Average Delay (minutes),Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Price
Aksu,Beijing,3049,CA1276,Air China,JET,15:40,21:40,Aksu Airport,41.26940127,80.30091874,Capital Airport,40.06248537,116.5992671,0.63,42,1,0,1,0,1,0,1,2000
Aksu,Chongqing,2697,CA4576,Air China,Boeing 737 (Medium),13:35,17:55,Aksu Airport,41.26940127,80.30091874,Jiangbei Airport,29.715551,106.661763,0.55,32,1,0,0,0,0,0,0,1630
Aksu,Hangzhou,4360,CZ6919,China Southern Airlines,Boeing 737 (Medium),8:00,14:25,Aksu Airport,41.26940127,80.30091874,Xiaoshan Airport,30.24722389,120.4414091,0.63,43,1,1,1,1,1,1,1,1870
Aksu,Hangzhou,4360,MF4475,Xiamen Airlines,Boeing 737 (Medium),8:00,14:25,Aksu Airport,41.26940127,80.30091874,Xiaoshan Airport,30.24722389,120.4414091,0.63,43,1,1,1,1,1,1,1,1900
Aksu,Hotan,470,CZ6859,China Southern Airlines,Embraer ERJ-190 (Medium),16:55,17:50,Aksu Airport,41.26940127,80.30091874,Hotan Airport,37.04328485,79.87657551,0.46,42,1,0,1,0,0,0,0,360
Aksu,Hotan,470,MF4427,Xiamen Airlines,Embraer ERJ-190 (Medium),16:55,17:50,Aksu Airport,41.26940127,80.30091874,Hotan Airport,37.04328485,79.87657551,0.46,42,1,0,1,0,0,0,0,380
Aksu,Urumqi,857,CZ6919,China Southern Airlines,Boeing 737 (Medium),8:00,9:20,Aksu Airport,41.26940127,80.30091874,Diwopu Airport,43.90839256,87.48112787,0.83,40,1,1,1,1,1,1,1,450
Aksu,Urumqi,857,MF4475,Xiamen Airlines,Boeing 737 (Medium),8:00,9:20,Aksu Airport,41.26940127,80.30091874,Diwopu Airport,43.90839256,87.48112787,0.83,40,1,1,1,1,1,1,1,410
Aksu,Urumqi,857,CA8810,Air China,Boeing 737 (Medium),9:35,10:50,Aksu Airport,41.26940127,80.30091874,Diwopu Airport,43.90839256,87.48112787,0.71,69,1,1,1,1,1,1,1,630
Aksu,Urumqi,857,SC8810,Shandong Airlines,Boeing 737 (Medium),9:35,10:50,Aksu Airport,41.26940127,80.30091874,Diwopu Airport,43.90839256,87.48112787,0.7,74,1,1,1,1,1,1,1,620
Aksu,Urumqi,857,CZ6862,China Southern Airlines,JET,10:20,11:35,Aksu Airport,41.26940127,80.30091874,Diwopu Airport,43.90839256,87.48112787,0.67,49,1,1,1,1,1,1,1,610
