name,real_city,avg_price,small_cate,stars,review_count,good_remarks,bad_remarks,longitude,latitude,product_rating,environment_rating,service_rating
Sanya Youyi Holiday Hotel,Sanya,106.5,Economy,3.5,6,4.0,0.0,109.598646,18.282054,7.6,7.5,7.4
Haitang Holiday Inn,Sanya,180.0,Economy,3.5,11,10.0,1.0,109.731402,18.380999,7.5,7.6,7.6
Liansu Boutique Hotel,Sanya,211.5,Midscale,4.0,6,8.0,0.0,109.532033,18.226849,7.7,7.8,7.8
Wuqi Hotel,Sanya,265.5,Economy,3.5,5,4.0,0.0,109.505277,18.249159,8.5,7.9,7.7
Encounter Blue Sea View Resort Apartment,Sanya,342.0,Economy,3.5,4,4.0,0.0,109.485213,18.270877,7.5,7.5,7.6
Sanya Qidian Youth Hostel,Sanya,64.5,Economy,3.5,5,5.0,0.0,109.710892,18.332243,7.5,7.5,7.6
Sanya Waterfront Art Sea View Inn,Sanya,114.0,Economy,3.5,4,4.0,0.0,109.500721,18.251045,7.5,7.6,7.6
Sanya Blue Stone Sea View Resort Apartment,Sanya,159.0,Economy,4.0,30,29.0,1.0,109.4956,18.261142,7.5,7.6,7.3
Tinghaiju Theme Apartment,Sanya,115.5,Economy,3.5,20,15.0,3.0,109.498504,18.258019,7.6,7.8,7.8
There is a village resort hotel in the distance,Sanya,132.0,Midscale,3.0,39,24.0,8.0,109.617189,18.244399,6.9,6.6,7.0
Ke Lai Si Le Boutique Resort Apartment,Sanya,346.5,Economy,3.5,12,12.0,1.0,109.484996,18.284668,7.6,7.4,7.7
Tianci 18 Degrees Azure Resort Apartment,Sanya,250.5,Midscale,4.0,14,13.0,1.0,109.397231,18.289402,7.4,7.6,7.6
Huashu Hotel,Sanya,148.5,Economy,4.0,11,9.0,2.0,109.397574,18.296927,7.5,7.5,7.3
Hairulan Hotel,Sanya,58.5,Midscale,4.0,5,5.0,0.0,109.505056,18.250337,7.7,7.7,7.8
Fujia Business Hotel,Sanya,204.0,Economy,4.0,7,7.0,0.0,109.175637,18.344492,7.7,7.8,7.9
Traveling south all the way to the inn,Sanya,103.5,Economy,4.0,3,3.0,0.0,109.526599,18.224326,8.4,7.9,7.4
Yuanlong Hotel,Sanya,100.5,Economy,4.0,4,4.0,0.0,109.70616,18.320707,7.5,7.7,7.6
Sanya Hongtang Bay Jianguo Resort Hotel,Sanya,522.0,Luxury,3.5,8,10.0,0.0,109.298411,18.308223,7.2,7.2,7.9
Mijia Xiaozhu Theme Inn,Sanya,138.0,Economy,3.5,3,2.0,0.0,109.523391,18.295682,7.5,7.6,7.6
Sanya Blue Ocean Hot Spring Sea View Apartment,Sanya,447.0,Economy,4.0,6,5.0,0.0,109.393767,18.289176,7.6,7.6,7.6
Baode Theme Hotel,Sanya,102.0,Economy,4.0,9,8.0,1.0,109.504134,18.259216,7.6,7.7,7.8
Jiaying Business Hotel,Sanya,136.5,Economy,3.5,2,2.0,0.0,109.5061,18.24982,7.6,7.6,7.2
Jinling Sea View,Sanya,633.0,Economy,3.5,5,4.0,0.0,109.517403,18.223049,7.7,7.6,7.4
Xinyu Hotel,Sanya,162.0,Upscale,3.5,21,14.0,5.0,109.502976,18.257224,8.0,7.9,7.7
Bahama Holiday Hotel,Sanya,358.5,Upscale,3.5,31,23.0,2.0,109.517517,18.278216,7.1,7.0,6.9
Golden Phoenix Sea View Resort Apartment,Sanya,424.5,Upscale,3.5,23,18.0,5.0,109.495182,18.260969,7.2,7.1,7.0
Sanya Eternal Love Inn,Sanya,430.5,Upscale,4.5,2,2.0,0.0,109.531218,18.291228,8.5,8.6,8.6
Sanya Yuedeen Hotel,Sanya,118.5,Economy,4.0,8,7.0,1.0,109.625433,18.250984,7.9,8.0,8.1
Golden Island Sea View Resort Apartment,Sanya,181.5,Economy,4.0,2,2.0,0.0,109.486726,18.267241,7.7,7.8,7.9
Sunflower Coast Inn,Sanya,148.5,Economy,3.0,13,9.0,3.0,109.625167,18.250991,7.0,7.0,6.9
Xiaoyuer Resort Villa,Sanya,117.0,Midscale,4.0,8,8.0,0.0,109.511504,18.219986,7.7,8.1,7.6
Vivi Coast Inn,Sanya,114.0,Economy,4.0,14,12.0,0.0,109.500711,18.255024,8.3,8.2,8.0
Mango. HOUSE Villa,Sanya,312.0,Economy,3.5,5,4.0,1.0,109.431697,18.289611,7.5,7.1,7.1
Comfortable Sea View Resort Apartment,Sanya,132.0,Economy,3.5,7,7.0,0.0,109.527538,18.224154,7.5,7.5,7.5
Sanya Beach No.18 Guesthouse,Sanya,39.0,Economy,3.5,2,3.0,0.0,109.494508,18.216876,7.5,7.5,7.6
Sea Charm Resort Apartment,Sanya,162.0,Economy,3.5,3,3.0,0.0,109.441523,18.293206,7.2,7.3,7.3
Sanya Wanghai Youth Hotel,Sanya,339.0,Luxury,3.5,23,20.0,0.0,109.488503,18.29419,7.2,7.4,7.2
Rujia Hotel Chain Store,Sanya,177.0,Economy,3.5,3,3.0,0.0,109.702587,18.307402,7.5,7.6,7.6
Quick Theme Hotel,Sanya,195.0,Economy,3.5,6,8.0,0.0,109.42253,18.309301,7.5,7.7,7.8
Ocean View Apartment at Guanhai Home,Sanya,103.5,Economy,4.5,6,6.0,0.0,109.500365,18.250769,8.5,8.4,8.4
