poiId,city,poiName,commentCount,commentScore,heatScore,sightLevelStr,price,latitude,longitude,tagNameList,shortFeatures,reference_time,summary,opening_hours
77064,Harbin,Saint Sophia Cathedral,5356,4.6,7.6,,20.0,45.770085,126.627295,Walking baby treasure land; Night tour viewing; Churches and Cathedrals; Nighttime sightseeing,The church under the lights is full of exotic atmosphere; Harbin Landmark Building,1-2 hours,"Hagia Sophia, founded in 1907, is a landmark building in Harbin, and its green onion-shaped dome is very eye-catching. 
· This magnificent Byzantine building no longer has the function of a church, and the night view of the church is more beautiful than it is during the day. 
Hagia Sophia was once the largest Orthodox church in the Far East, and now it is the most completely preserved Byzantine building in China. 
After being transformed into an art gallery, it reflects the history, present situation and future of Harbin by displaying nearly a thousand pictures and urban planning sand tables. 
There is a ""Square Pigeon"" in the square in front of the church, and there is also a large series of musical fountains. Many people like to take wedding photos here.",Open at  08:30-17:00
77071,Harbin,Central Street,6905,4.7,7.2,,0.0,45.775255,126.618554,Walking baby treasure land; Neighborhood Walk; Featured Neighborhoods; Nighttime sightseeing,The noisy street shines in the night; Walk through the Russian-style neighborhood,1-3 hours,"Central Street is the most prosperous commercial street in Harbin. This commercial street with a history of more than one hundred years is home to many classic European buildings. 
· It is full of all kinds of department stores, and the whole street is rendered with lights every night. It is a must-visit place in Harbin. 
When you come to Central Street, you must try authentic Russian western food and the famous Madier popsicles.","Open year round, 24/7"
130886889,Harbin,Songhua River,2,4.5,2.3,,0.0,45.75155,126.567926,Nature and Adventure; Rivers,,,"This section of the Songhua River flowing through Harbin has become an important landscape of the city. 
Every winter, the ice layer of Songhua River is roughly half a meter thick, and the river surface has become a resort for people to play. 
Every year, the materials used in Harbin Ice and Snow World are carved from the ice on the Songhua River.","Open year round, 24/7"
77060,Harbin,Sun Island Scenic Area,2127,4.4,9.1,5A,0.0,45.791194,126.597899,Close to nature; Hidden gem for kids.; Islands/Peninsulas,"Summer for escaping the heat, winter for enjoying snow sculptures.",3-4 hours,"- Sun Island Park is located on the northern bank of the Songhua River in Harbin, across from Stalin Park, and is known by visitors as a summer resort.
- The island features numerous European-style villas, which were once summer retreats for the Russians. These architectural structures are nestled amidst lush green trees.
- This is the largest winter theme park in China with a snow theme, and in winter, it becomes a world of snow.",Opening hours TBD
80633,Harbin,Harbin Ice and Snow World,6129,4.3,9.1,,240.0,45.780606,126.562615,Hi Play Park; Treasure place for walking babies; Ice and Snow Parks,"After lighting up, the crystal ice sculpture is more dreamy; Ice and Snow Theme Carnival",0.5-1 day,"· In the world of ice and snow, you can enjoy the tallest, longest and largest ice and snow landscape in the world; And every session will have a new theme. 
· There are world-renowned buildings, classic cartoon characters, and you can also watch European-style song and dance performances. 
There are all kinds of ice sports in the park. When the colorful lights are turned on at night, it is like being in a fairy tale world of ice lanterns. 
· Due to its particularity, it is only open from December to February in winter every year.",Opens at 10:00-21:30
106022509,Harbin,Harbin Polarland,683,4.9,7.9,4A,0.0,45.785115,126.587195,Resort,,1 day,"Harbin Polarland is one of the few original cultural and tourism resort areas in China. The design of the park's buildings, overall planning, and product creativity were all developed by the company's in-house team. The project is located in the national-level tourist scenic area of Sun Island, with a total investment of one billion RMB. It is a cultural and tourism resort area in China centered on polar-themed performances and interactive science education experiences. It is also a well-known brand in China's polar oceanarium industry and a world-class tourism landmark created by Heilongjiang Province. 

The park includes five major venues: the Polar Pavilion, the Ocean Pavilion, the Penguin Learning Pavilion, the Polar Bear Experience Pavilion, and the Dinosaur Pavilion. Seven themed performances are featured: the Beluga Whale Show, Dolphin Show, Glacier Aurora Show, Walrus Stand-up Comedy Show, Penguin Performance, Water Dance, and Stingray Performance.",Open at 09:00-17:00(Tickets available until 16:00; admission ends at 16:00)
77066,Harbin,Northeast Tiger Forest Park,6014,4.6,8.4,4A,105.0,45.817802,126.601838,Cute Animals; Kid-Friendly Hidden Gems; Zoos,Close-up Observation of Amur Tiger's Habitat,2-3 hours,"The Northeast Tiger Park is located on the north bank of the Songhua River, covering an area of approximately 1.2 million square meters, and is only separated by a small body of water from the famous summer resort, Sun Island Scenic Area. The Tiger Park occupies 360,000 square meters and is currently the world's largest wild natural park for Northeast Tigers. It was established to save and protect the endangered Northeast Tiger species.

The park currently has 10 sightseeing areas: the Wild Training Area, Adult Tiger Area, Young Tiger Area, Tiger King Area, Breeding Tiger Area, Breeding Male Tiger Area, Lion and Tiger Area, African Lion Area, Walking Area, and Tiger Viewing Platform. Visitors can see over 100 purebred Northeast Tigers, 8 white tigers, 1 snow tiger, 2 white lions, 2 liger hybrids, 3 black jaguars, and 20 African lions. Except for the Walking Area and Tiger Viewing Platform, the other areas require visitors to travel in vehicles to search for the tigers and appreciate their majesty.",Opens at 08:30-16:00
99446,Harbin,Russian Style Town,819,4.2,6.5,,35.0,45.787,126.602294,City coordinates; Towns,Quiet Russian town,1-2 hours,"· The Russian-style town is located at the core of the famous Sun Island Scenic Area in Harbin, an ice city, close to the scenic spot along the river. 
· The whole town consists of 27 villas and houses with Russian style. 
The town is hidden among flowers and green trees, scattered at random, each with its own style, forming a unique natural and architectural features.",Opens at 08:30-17:30(Tickets available until 17:00; admission ends at 17:00)
148839884,Harbin,Yabuli Skiing,135,5.0,5.3,,0.0,44.82684,128.5174,,,1-2 days,"National AAAA scenic spot, located in the vast hinterland surrounded by mountains in the remaining veins of Zhangguang Cailing, a branch of Changbai Mountain. 
· Yabuli Ski Resort is currently the largest ski resort in China and the largest comprehensive snow training center in China. 
· The ski resort has complete facilities, with more than 50 ski trails of different levels to meet the requirements of all kinds of ski enthusiasts. The alpine ski trails are the longest in Asia. 
The snow quality is perfect, with an annual snow period of 170 days and a snow season of 5 months. All skiing facilities and comprehensive service levels are at the top level in the country.",Opens at 08:00-16:30(Admission ends at 15:00)
30582987,Harbin,Harbin Grand Theatre,226,4.5,6.3,,19.9,45.809347,126.585684,Walking baby treasure land; Theater Theatre,"New landmark of online celebrity, night scene space feeling; A landmark building like flowing clouds",1-3 hours,"Harbin Grand Theatre is a newly completed theater in Harbin, and it will soon become the best place for concerts, stage plays, dramas and other performances in Harbin. This Harbin Grand Theatre, which is inspired by the ice and snow landscape of Northern China, is also a rookie in Harbin architecture. The undulating architectural lines are rich in natural rhythm, like continuous snow-capped mountains. Even if you don't watch the show, this unique architectural beauty is worth visiting.",Open at  10:00-16:00(Tickets available until 15:30)
